nfhs4_statecode,nfhs4_state,P0-05,P05-10,P10-20,P20-30,P30-40,P40-50,P50-60,P60-70,P70-80,P80-90,P90-95,P95-100,ALL,MPCE_AVG_RS,EST_NO_PERSONS,NO_SAMPLE_HHS,region
AP,Andhra Pradesh,0.3,0.6,1.5,5.7,6.4,7.4,8.3,12.9,18.7,20.4,8.4,9.4,100,2386.49,330272,9011,Rural
AR,Arunachal Pradesh,6.2,3,12.4,5.6,4.9,5.3,5.8,7.5,10.5,14.1,11.5,13.1,100,2347.43,10401,6142,Rural
AS,Assam,3.3,3.7,13,21.1,10.3,12,12.1,10.4,7.7,3.8,1.9,0.7,100,1554.55,273303,12448,Rural
BR,Bihar,8.2,10.2,19.9,15.2,12.3,12.1,8.4,4.8,4.2,2.8,1.2,0.7,100,1387.93,851560,17481,Rural
CT,Chhattisgarh,17.8,10,16.8,12.6,10.5,8.5,7.1,5.7,4.4,3.9,1.2,1.3,100,1377.76,206904,8244,Rural
DL,NCT of Delhi,0,0,0,0,1.7,0,0.7,0.4,33.1,35.4,7,21.7,100,2988.58,5537,256,Rural
GA,Goa,0,4.6,1.3,0,0,0.2,1.1,3.5,9.5,26,17.8,35.9,100,3277.65,5445,680,Rural
GJ,Gujarat,0.1,1.4,3.8,6,11.2,10.6,10.2,14.5,15.8,16.6,6.6,3.2,100,2033.68,331700,9188,Rural
HR,Haryana,0,0.2,2.5,4.3,7.1,5.2,5.2,11.5,15.2,20.7,17.1,11,100,2527.29,175009,8004,Rural
HP,Himachal Pradesh,0.6,0.3,2.1,2.6,4.6,7.4,8.1,10,13.6,20.5,14.4,15.9,100,2774.32,59515,7095,Rural
JK,Jammu & Kashmir,0,0.5,2.3,9.2,8.4,10.9,10.5,13.9,15.3,14.4,6.6,8,100,2188.48,79574,9890,Rural
JH,Jharkhand,14.4,13.4,17.4,11.7,11.5,8.4,7.8,6.1,2.9,3.3,2.1,1,100,1361.36,248767,9415,Rural
KA,Karnataka,0.8,1.4,7.3,10.2,8.9,13.7,11.7,13.4,13.9,11.3,4.4,3.1,100,1890.65,358248,10817,Rural
KL,Kerala,0.3,0.1,0.3,0.4,1.2,2.5,4.9,7.4,10.2,17.2,17.7,37.8,100,3726.6,165224,9408,Rural
MP,Madhya Pradesh,9.4,7.4,13.3,13.4,11.7,11.4,10.4,8.1,5.9,4.9,2.3,1.9,100,1641.17,519895,15255,Rural
MH,Maharashtra,3.1,2.3,6.5,7.7,10.8,8.4,10.7,14,14.3,12.2,5.2,4.8,100,1971.3,593146,17945,Rural
MN,Manipur,0.2,2.3,16.7,10.1,16.6,12.5,6.4,7.5,7.9,12.6,3.1,4,100,1776.68,20430,7267,Rural
ML,Meghalaya,0,0.5,1.9,5,7.5,15.4,8.2,16.1,20.2,18,4.4,2.7,100,2054.56,25491,4583,Rural
MZ,Mizoram,0.5,0.5,1.1,3.6,3.8,8.7,5,9.2,13.9,22.5,16.8,14.5,100,2613.21,5763,3495,Rural
NL,Nagaland,0.2,1.9,2.4,1.1,6.2,11.9,17.6,9.3,11.4,21.2,10.5,6.4,100,2227.32,11687,3905,Rural
OR,Odisha,21.5,10.1,17,12.8,9.4,8.8,6.3,4.5,3.4,3.2,1.4,1.5,100,1338.93,332062,12369,Rural
PB,Punjab,0,0,1.3,1.2,2.7,2.9,4.9,9.1,11.7,20.3,21,24.8,100,3106.02,162864,8127,Rural
RJ,Rajasthan,0.8,1.7,6.4,6.3,9.7,11.4,10.8,12.7,14.4,15.6,4.9,5.4,100,2052.75,512274,15886,Rural
SK,Sikkim,0,0,0.6,3.1,5.9,10.8,12.7,10,15.9,22.8,9.4,8.8,100,2357.86,4463,2835,Rural
TN,Tamil Nadu,0.8,0.7,2.4,5,7.8,8.4,9.3,10.6,16.8,19.7,10.8,7.7,100,2326.04,363806,13078,Rural
TG,Telangana,0.1,0,1.8,3.5,10.5,9.7,9,16.7,21.7,17.8,5,4.1,100,2123.24,193224,6679,Rural
TR,Tripura,0.1,0.7,3.3,9,10.1,9.7,10.6,15.8,16.5,12.9,4.7,6.6,100,2115.34,27919,5373,Rural
UT,Uttarakhand,0.2,0.9,4.5,12.5,8.3,6.5,8.3,9,14,17.1,8.7,9.8,100,2255.67,67496,4915,Rural
UP,Uttar Pradesh,6.1,8.3,13.4,11.7,11.3,9.9,11.6,8.8,6.1,6.1,3.1,3.5,100,1654.01,1526037,33317,Rural
WB,West Bengal,1.2,2.3,7.8,10.2,10.6,13.4,14.9,13.1,10.5,8.7,3.9,3.4,100,1848.98,602918,16141,Rural
AN,Andaman & Nicobar Islands,0,0,0.6,0.6,2.6,6.8,4,3.8,6.1,16.5,19,40,100,3568.56,2443,1170,Rural
CH,Chandigarh,0,0,0,0,0,4.6,0.2,0,14.6,6.5,21,53.1,100,3808.08,381,242,Rural
DN,Dadra & Nagar Haveli,0,0,5.4,19.3,24.5,9.7,9.7,14.6,8.8,2.8,2.9,2.3,100,1726.61,1836,444,Rural
DD,Daman & Diu,0,0,0,0,0,0,27.1,2.4,5.4,21.3,28.8,15,100,2709.66,534,276,Rural
LK,Lakshadweep,0,0,0,5.6,0.8,5.8,7.2,5.1,13.8,17.7,19.3,24.8,100,3051.86,138,302,Rural
PY,Puducherry,0,0,0,0,0,0,0.5,0.2,9.5,31.8,31,26.9,100,3374.99,4308,488,Rural
IN,India,5,5,10,10,10,10,10,10,10,10,5,5,100,1872.13,8080573,292171,Rural
AP,Andhra Pradesh,1.3,2.6,10.5,10.9,10.7,12.1,13.8,12,11.3,7.4,4,3.5,100,3715.19,152592,5577,Urban
AR,Arunachal Pradesh,2.9,2.4,12,8.8,11.3,9,10.4,10.2,11.8,9.4,6.3,5.5,100,3925.24,1983,2293,Urban
AS,Assam,3.3,7.4,13.4,14.1,12,10.4,6.9,10.5,5.6,10.1,4.2,2.1,100,3317.59,36926,4345,Urban
BR,Bihar,23.9,13.2,15.9,11.2,9.5,6.8,6.5,4.5,3.2,2.4,1.5,1.5,100,2393.71,94106,8059,Urban
CT,Chhattisgarh,10.6,10.9,16,10.5,10.8,8.5,9.2,6.6,5.5,5.7,2.8,2.9,100,3017.69,44947,4599,Urban
DL,NCT of Delhi,1.9,1.7,5,5.1,9.6,11,9.8,9.1,15.7,11.9,8.4,10.8,100,4905.39,154518,4457,Urban
GA,Goa,0,0.1,9,4.4,11.2,13.8,13.7,14.4,13.7,12.2,4,3.4,100,4013.44,7523,1066,Urban
GJ,Gujarat,0.9,2.3,5.6,9,10.1,10.1,13.5,13.9,14.8,13.1,3.9,2.8,100,3895.6,208387,9827,Urban
HR,Haryana,3.6,3.2,7.5,8.3,7.6,13.1,9.2,8.1,9.4,13.7,7.4,9,100,4626.27,87233,6164,Urban
HP,Himachal Pradesh,0.4,0.1,3.7,3.8,5.1,13.8,7.9,10.3,15.7,21.2,8.7,9.2,100,5129.55,7168,1435,Urban
JK,Jammu & Kashmir,1,3.1,11.1,15,13.2,12.4,10.7,8.1,7.9,8.4,4.3,4.7,100,3675.04,22054,6041,Urban
JH,Jharkhand,17.6,8.6,15.1,8.8,7.4,8.5,8.7,8.1,7.7,3.7,3.2,2.6,100,2929,57006,4723,Urban
KA,Karnataka,3,4.3,9.4,8.1,8,10.5,9.6,11.3,9,12.4,7.9,6.4,100,4206.81,204099,8818,Urban
KL,Kerala,1.5,2.2,8.4,8.5,8.7,11,12.4,11.1,11,11.3,6.4,7.6,100,4462.86,136807,8035,Urban
MP,Madhya Pradesh,14,8,16.7,12.5,9.9,8.7,8.6,7.7,5.6,4.6,2,1.6,100,2814.38,169084,10967,Urban
MH,Maharashtra,3.3,3.2,7.6,9.2,9.6,9.8,9.5,11.3,11.8,12.8,5.1,6.7,100,4345.6,445058,18863,Urban
MN,Manipur,8,11.8,16.9,16.5,20,8.2,6.7,5.1,3.9,2.4,0.3,0.2,100,2461.74,8972,5586,Urban
ML,Meghalaya,0,2,2.8,4,15.5,11.6,12.6,19,20.1,6.8,3.7,1.9,100,3826.75,5245,1858,Urban
MZ,Mizoram,0.3,0.4,2.3,4.9,4.8,7.7,8.6,15,19.6,18.7,12,5.5,100,4803.18,4636,4078,Urban
NL,Nagaland,0.8,1.8,11.2,12.4,10.4,12.9,18.3,14.2,13.6,3.9,0.2,0.3,100,3214.21,4650,1811,Urban
OR,Odisha,17.7,15.2,16.6,8.8,6.3,6.1,5.9,6.2,5.5,5.6,3.6,2.6,100,2870.9,61510,4249,Urban
PB,Punjab,0.8,1.6,7.7,10.3,9.7,9.8,11.1,11.7,10.2,12.2,7.9,6.9,100,4430.37,93375,7235,Urban
RJ,Rajasthan,2,3.3,13.2,13.2,9.5,11.6,9.9,9,11.6,7.6,4.3,4.8,100,3791.37,153457,8768,Urban
SK,Sikkim,0.3,3.6,5.9,4.4,10.8,5.6,13.9,9.1,10.4,24.2,3.7,8.1,100,4696.22,1245,540,Urban
TN,Tamil Nadu,0.8,1.9,4.9,11.6,13.1,10.5,11,12.6,13.8,11.5,5.2,3,100,3941.57,324711,11163,Urban
TG,Telangana,0.4,0.6,2.8,6.4,11.9,7.9,10.1,10,10.2,24.2,9.2,6.5,100,4783.49,164065,5732,Urban
TR,Tripura,0.5,4.4,9.3,11.3,13.6,11.3,10.2,10.4,8.6,6.4,8,6.1,100,3960.28,7052,2247,Urban
UT,Uttarakhand,2,6,14.7,9.2,8.8,12.7,14,8,6.7,6.1,4.3,7.5,100,3940.79,22413,3130,Urban
UP,Uttar Pradesh,11.1,11.2,16,11.8,9.1,9.9,8,6.9,5.5,4.2,2.6,3.8,100,3102.73,408855,22408,Urban
WB,West Bengal,3.2,6.6,13.1,11,11.5,9.2,9.9,10,8.3,7.8,4.7,4.8,100,3663.23,242559,10666,Urban
AN,Andaman & Nicobar Islands,0,0,0.6,2.9,4.9,6.4,9.7,12.7,18.5,22.7,14,7.6,100,5317.56,1323,1026,Urban
CH,Chandigarh,0,0,0.1,3.9,3.6,5.9,7,8.9,11.3,12.6,15.1,31.6,100,7498.23,9100,1134,Urban
DN,Dadra & Nagar Haveli,0,0,9.2,10.5,9.5,13.2,24.3,8.5,15.7,6.2,2.8,0,100,3502.54,1587,289,Urban
DD,Daman & Diu,0,0,4,7,6.5,26.5,6.2,5.3,22.2,15.1,4.6,2.7,100,4032.09,1486,173,Urban
LK,Lakshadweep,0,0.8,4.4,6.4,15.7,27.7,28.1,4.8,5.7,3.6,1.9,0.8,100,3261.56,394,714,Urban
PY,Puducherry,0.1,0.5,2.9,3.6,8.1,13.2,15.7,16.9,17.7,10.7,5.5,5,100,4298.98,6275,1596,Urban
IN,India,5,5,10,10,10,10,10,10,10,10,5,5,100,3858.7,3352403,199672,Urban
