nfhs4_statecode,nfhs4_state,SL_NO,ITEM_CATEGORY,region,mpce
AP,Andhra Pradesh,1,cereal,Rural,219.85
AR,Arunachal Pradesh,1,cereal,Rural,281.55
AS,Assam,1,cereal,Rural,182.82
BR,Bihar,1,cereal,Rural,193.86
CT,Chhattisgarh,1,cereal,Rural,125.62
AP,Andhra Pradesh,2,gram,Rural,2.24
AR,Arunachal Pradesh,2,gram,Rural,1.14
AS,Assam,2,gram,Rural,0.96
BR,Bihar,2,gram,Rural,3.88
CT,Chhattisgarh,2,gram,Rural,1.43
AP,Andhra Pradesh,3,cereal substitutes,Rural,0.27
AR,Arunachal Pradesh,3,cereal substitutes,Rural,3.57
AS,Assam,3,cereal substitutes,Rural,0.02
BR,Bihar,3,cereal substitutes,Rural,0.02
CT,Chhattisgarh,3,cereal substitutes,Rural,0
AP,Andhra Pradesh,4,pulses and pulse products,Rural,62.24
AR,Arunachal Pradesh,4,pulses and pulse products,Rural,34.31
AS,Assam,4,pulses and pulse products,Rural,40.96
BR,Bihar,4,pulses and pulse products,Rural,41.27
CT,Chhattisgarh,4,pulses and pulse products,Rural,38.26
AP,Andhra Pradesh,5,milk and milk products,Rural,180.25
AR,Arunachal Pradesh,5,milk and milk products,Rural,56.02
AS,Assam,5,milk and milk products,Rural,53
BR,Bihar,5,milk and milk products,Rural,136.61
CT,Chhattisgarh,5,milk and milk products,Rural,27.82
AP,Andhra Pradesh,6,sugar,Rural,19.06
AR,Arunachal Pradesh,6,sugar,Rural,20.1
AS,Assam,6,sugar,Rural,16.75
BR,Bihar,6,sugar,Rural,16.77
CT,Chhattisgarh,6,sugar,Rural,17.94
AP,Andhra Pradesh,7,salt,Rural,3.53
AR,Arunachal Pradesh,7,salt,Rural,4.52
AS,Assam,7,salt,Rural,3.07
BR,Bihar,7,salt,Rural,3.25
CT,Chhattisgarh,7,salt,Rural,2.69
AP,Andhra Pradesh,8,edible oil,Rural,73.05
AR,Arunachal Pradesh,8,edible oil,Rural,55.47
AS,Assam,8,edible oil,Rural,70.42
BR,Bihar,8,edible oil,Rural,60.21
CT,Chhattisgarh,8,edible oil,Rural,51.29
AP,Andhra Pradesh,9,"egg, fish & meat",Rural,167.78
AR,Arunachal Pradesh,9,"egg, fish & meat",Rural,323.99
AS,Assam,9,"egg, fish & meat",Rural,192.26
BR,Bihar,9,"egg, fish & meat",Rural,60.04
CT,Chhattisgarh,9,"egg, fish & meat",Rural,56.33
AP,Andhra Pradesh,10,vegetables,Rural,153.13
AR,Arunachal Pradesh,10,vegetables,Rural,211.32
AS,Assam,10,vegetables,Rural,142.15
BR,Bihar,10,vegetables,Rural,111.16
CT,Chhattisgarh,10,vegetables,Rural,144.88
AP,Andhra Pradesh,11,fruits (fresh),Rural,79.72
AR,Arunachal Pradesh,11,fruits (fresh),Rural,60.04
AS,Assam,11,fruits (fresh),Rural,35.59
BR,Bihar,11,fruits (fresh),Rural,25.55
CT,Chhattisgarh,11,fruits (fresh),Rural,25.77
AP,Andhra Pradesh,12,fruits (dry),Rural,25.66
AR,Arunachal Pradesh,12,fruits (dry),Rural,7.5
AS,Assam,12,fruits (dry),Rural,3.94
BR,Bihar,12,fruits (dry),Rural,4.09
CT,Chhattisgarh,12,fruits (dry),Rural,3.04
AP,Andhra Pradesh,13,spices,Rural,81.12
AR,Arunachal Pradesh,13,spices,Rural,55.36
AS,Assam,13,spices,Rural,44.78
BR,Bihar,13,spices,Rural,45.82
CT,Chhattisgarh,13,spices,Rural,52.58
AP,Andhra Pradesh,14,"beverages, refreshments, etc.",Rural,189.74
AR,Arunachal Pradesh,14,"beverages, refreshments, etc.",Rural,175.89
AS,Assam,14,"beverages, refreshments, etc.",Rural,122.78
BR,Bihar,14,"beverages, refreshments, etc.",Rural,98.86
CT,Chhattisgarh,14,"beverages, refreshments, etc.",Rural,131.7
AP,Andhra Pradesh,15,food: total (1-14),Rural,1257.63
AR,Arunachal Pradesh,15,food: total (1-14),Rural,1290.79
AS,Assam,15,food: total (1-14),Rural,909.5
BR,Bihar,15,food: total (1-14),Rural,801.39
CT,Chhattisgarh,15,food: total (1-14),Rural,679.36
AP,Andhra Pradesh,16,"pan, tobacco & intoxicants",Rural,80.43
AR,Arunachal Pradesh,16,"pan, tobacco & intoxicants",Rural,122.49
AS,Assam,16,"pan, tobacco & intoxicants",Rural,57.58
BR,Bihar,16,"pan, tobacco & intoxicants",Rural,17.64
CT,Chhattisgarh,16,"pan, tobacco & intoxicants",Rural,57.45
AP,Andhra Pradesh,17,fuel and light,Rural,164.81
AR,Arunachal Pradesh,17,fuel and light,Rural,264.92
AS,Assam,17,fuel and light,Rural,149.42
BR,Bihar,17,fuel and light,Rural,134.96
CT,Chhattisgarh,17,fuel and light,Rural,140.94
AP,Andhra Pradesh,18,clothing & bedding,Rural,135.62
AR,Arunachal Pradesh,18,clothing & bedding,Rural,121.11
AS,Assam,18,clothing & bedding,Rural,101.83
BR,Bihar,18,clothing & bedding,Rural,117.11
CT,Chhattisgarh,18,clothing & bedding,Rural,117.2
AP,Andhra Pradesh,19,footwear,Rural,19.81
AR,Arunachal Pradesh,19,footwear,Rural,28.82
AS,Assam,19,footwear,Rural,17.83
BR,Bihar,19,footwear,Rural,14.73
CT,Chhattisgarh,19,footwear,Rural,16.15
AP,Andhra Pradesh,20,education,Rural,97.05
AR,Arunachal Pradesh,20,education,Rural,44.38
AS,Assam,20,education,Rural,38.33
BR,Bihar,20,education,Rural,46.68
CT,Chhattisgarh,20,education,Rural,30.7
AP,Andhra Pradesh,21,medical (institutional),Rural,39.82
AR,Arunachal Pradesh,21,medical (institutional),Rural,11.15
AS,Assam,21,medical (institutional),Rural,5.23
BR,Bihar,21,medical (institutional),Rural,9.59
CT,Chhattisgarh,21,medical (institutional),Rural,10.69
AP,Andhra Pradesh,22,medical (non-institutional),Rural,93.28
AR,Arunachal Pradesh,22,medical (non-institutional),Rural,31.16
AS,Assam,22,medical (non-institutional),Rural,21.39
BR,Bihar,22,medical (non-institutional),Rural,32.27
CT,Chhattisgarh,22,medical (non-institutional),Rural,24.25
AP,Andhra Pradesh,23,entertainment,Rural,44.82
AR,Arunachal Pradesh,23,entertainment,Rural,38.42
AS,Assam,23,entertainment,Rural,30.29
BR,Bihar,23,entertainment,Rural,13.96
CT,Chhattisgarh,23,entertainment,Rural,15.47
AP,Andhra Pradesh,24,minor durable-type goods,Rural,4.99
AR,Arunachal Pradesh,24,minor durable-type goods,Rural,26.35
AS,Assam,24,minor durable-type goods,Rural,8.21
BR,Bihar,24,minor durable-type goods,Rural,6.23
CT,Chhattisgarh,24,minor durable-type goods,Rural,6.68
AP,Andhra Pradesh,25,toilet articles,Rural,57.94
AR,Arunachal Pradesh,25,toilet articles,Rural,48.09
AS,Assam,25,toilet articles,Rural,29.43
BR,Bihar,25,toilet articles,Rural,25.89
