"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Andhra Pradesh,1.3,2.6,10.5,10.9,10.7,12.1,13.8,12.0,11.3,7.4,4.0,3.5,100.0,3715.19,152592,5577
Arunachal Pradesh,2.9,2.4,12.0,8.8,11.3,9.0,10.4,10.2,11.8,9.4,6.3,5.5,100.0,3925.24,1983,2293
Assam,3.3,7.4,13.4,14.1,12.0,10.4,6.9,10.5,5.6,10.1,4.2,2.1,100.0,3317.59,36926,4345
Bihar,23.9,13.2,15.9,11.2,9.5,6.8,6.5,4.5,3.2,2.4,1.5,1.5,100.0,2393.71,94106,8059
Chhattisgarh,10.6,10.9,16.0,10.5,10.8,8.5,9.2,6.6,5.5,5.7,2.8,2.9,100.0,3017.69,44947,4599
Delhi,1.9,1.7,5.0,5.1,9.6,11.0,9.8,9.1,15.7,11.9,8.4,10.8,100.0,4905.39,154518,4457
Goa,0.0,0.1,9.0,4.4,11.2,13.8,13.7,14.4,13.7,12.2,4.0,3.4,100.0,4013.44,7523,1066
Gujarat,0.9,2.3,5.6,9.0,10.1,10.1,13.5,13.9,14.8,13.1,3.9,2.8,100.0,3895.60,208387,9827
Haryana,3.6,3.2,7.5,8.3,7.6,13.1,9.2,8.1,9.4,13.7,7.4,9.0,100.0,4626.27,87233,6164
Himachal Pradesh,0.4,0.1,3.7,3.8,5.1,13.8,7.9,10.3,15.7,21.2,8.7,9.2,100.0,5129.55,7168,1435
Jammu & Kashmir,1.0,3.1,11.1,15.0,13.2,12.4,10.7,8.1,7.9,8.4,4.3,4.7,100.0,3675.04,22054,6041
Jharkhand,17.6,8.6,15.1,8.8,7.4,8.5,8.7,8.1,7.7,3.7,3.2,2.6,100.0,2929.00,57006,4723
Karnataka,3.0,4.3,9.4,8.1,8.0,10.5,9.6,11.3,9.0,12.4,7.9,6.4,100.0,4206.81,204099,8818
Kerala,1.5,2.2,8.4,8.5,8.7,11.0,12.4,11.1,11.0,11.3,6.4,7.6,100.0,4462.86,136807,8035
Madhya Pradesh,14.0,8.0,16.7,12.5,9.9,8.7,8.6,7.7,5.6,4.6,2.0,1.6,100.0,2814.38,169084,10967
Maharashtra,3.3,3.2,7.6,9.2,9.6,9.8,9.5,11.3,11.8,12.8,5.1,6.7,100.0,4345.60,445058,18863
Manipur,8.0,11.8,16.9,16.5,20.0,8.2,6.7,5.1,3.9,2.4,0.3,0.2,100.0,2461.74,8972,5586
Meghalaya,0.0,2.0,2.8,4.0,15.5,11.6,12.6,19.0,20.1,6.8,3.7,1.9,100.0,3826.75,5245,1858
Mizoram,0.3,0.4,2.3,4.9,4.8,7.7,8.6,15.0,19.6,18.7,12.0,5.5,100.0,4803.18,4636,4078
Nagaland,0.8,1.8,11.2,12.4,10.4,12.9,18.3,14.2,13.6,3.9,0.2,0.3,100.0,3214.21,4650,1811
Odisha,17.7,15.2,16.6,8.8,6.3,6.1,5.9,6.2,5.5,5.6,3.6,2.6,100.0,2870.90,61510,4249
Punjab,0.8,1.6,7.7,10.3,9.7,9.8,11.1,11.7,10.2,12.2,7.9,6.9,100.0,4430.37,93375,7235
Rajasthan,2.0,3.3,13.2,13.2,9.5,11.6,9.9,9.0,11.6,7.6,4.3,4.8,100.0,3791.37,153457,8768
Sikkim,0.3,3.6,5.9,4.4,10.8,5.6,13.9,9.1,10.4,24.2,3.7,8.1,100.0,4696.22,1245,540
Tamil Nadu,0.8,1.9,4.9,11.6,13.1,10.5,11.0,12.6,13.8,11.5,5.2,3.0,100.0,3941.57,324711,11163
Telangana,0.4,0.6,2.8,6.4,11.9,7.9,10.1,10.0,10.2,24.2,9.2,6.5,100.0,4783.49,164065,5732
Tripura,0.5,4.4,9.3,11.3,13.6,11.3,10.2,10.4,8.6,6.4,8.0,6.1,100.0,3960.28,7052,2247
Uttarakhand,2.0,6.0,14.7,9.2,8.8,12.7,14.0,8.0,6.7,6.1,4.3,7.5,100.0,3940.79,22413,3130
Uttar Pradesh,11.1,11.2,16.0,11.8,9.1,9.9,8.0,6.9,5.5,4.2,2.6,3.8,100.0,3102.73,408855,22408
West Bengal,3.2,6.6,13.1,11.0,11.5,9.2,9.9,10.0,8.3,7.8,4.7,4.8,100.0,3663.23,242559,10666
A&N Islands,0.0,0.0,0.6,2.9,4.9,6.4,9.7,12.7,18.5,22.7,14.0,7.6,100.0,5317.56,1323,1026
Chandigarh,0.0,0.0,0.1,3.9,3.6,5.9,7.0,8.9,11.3,12.6,15.1,31.6,100.0,7498.23,9100,1134
Dadra & N. Haveli,0.0,0.0,9.2,10.5,9.5,13.2,24.3,8.5,15.7,6.2,2.8,0.0,100.0,3502.54,1587,289
Daman Diu,0.0,0.0,4.0,7.0,6.5,26.5,6.2,5.3,22.2,15.1,4.6,2.7,100.0,4032.09,1486,173
Lakshadweep,0.0,0.8,4.4,6.4,15.7,27.7,28.1,4.8,5.7,3.6,1.9,0.8,100.0,3261.56,394,714
Puducherry,0.1,0.5,2.9,3.6,8.1,13.2,15.7,16.9,17.7,10.7,5.5,5.0,100.0,4298.98,6275,1596
all-India,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,100.0,3858.70,3352403,199672
