"",(1),(2),(13),(14),(15),(16),(17)
"",1,cereal,273.99,248.47,268.38,227.67,162.40
"",2,gram,5.43,5.90,5.37,11.10,2.04
"",3,cereal substitutes,0.07,0.37,0.01,7.99,2.93
"",4,pulses and pulse products,56.20,42.95,59.43,49.85,58.54
"",5,milk and milk products,376.57,186.19,215.76,158.17,264.47
"",6,sugar,25.06,22.28,30.35,31.87,35.37
"",7,salt,5.07,3.40,3.39,2.97,2.60
"",8,edible oil,118.91,82.32,74.19,104.63,71.77
"",9,"egg, fish & meat",177.29,123.23,175.56,387.48,54.61
"",10,vegetables,246.44,156.44,163.67,154.90,139.73
"",11,fruits (fresh),94.10,77.02,151.57,183.35,83.42
"",12,fruits (dry),29.68,29.08,54.46,27.37,38.66
"",13,spices,91.09,64.42,86.02,100.23,70.17
"",14,"beverages, refreshments, etc.",283.03,246.47,438.83,399.59,209.39
"",15,food: total (1-14),1782.91,1288.56,1726.98,1847.18,1196.10
"",16,"pan, tobacco & intoxicants",53.74,41.62,73.89,66.36,53.14
"",17,fuel and light,213.01,188.75,225.28,257.21,250.10
"",18,clothing & bedding,225.21,191.17,206.52,212.56,169.30
"",19,footwear,55.43,31.25,44.20,41.61,35.83
"",20,education,258.25,271.83,252.57,245.46,253.38
"",21,medical (institutional),27.92,59.68,45.02,132.24,27.03
"",22,medical (non-institutional),80.17,79.25,71.68,243.03,81.35
"",23,entertainment,51.78,47.01,83.59,70.32,46.60
"",24,minor durable-type goods,12.87,14.46,15.16,18.59,11.59
"",25,toilet articles,48.44,49.91,80.93,67.07,56.82
"",26,other household consumables,49.77,51.79,73.40,61.37,50.84
"",27,consum. services excl. conveyance,168.14,126.07,191.86,236.77,122.88
"",28,conveyance,278.87,152.58,262.00,371.07,169.55
"",29,rent,55.10,153.17,636.66,149.01,109.47
"",30,taxes & cesses,28.04,8.78,52.26,30.59,28.32
"",31,durable goods,285.39,173.12,164.81,412.43,152.07
"",32,non-food: total (16-31),1892.13,1640.45,2479.83,2615.68,1618.28
"",33,total expenditure (15+32),3675.04,2929.00,4206.81,4462.86,2814.38
"",34,"cooked meals recd. free inworkpl.*",0.83,3.04,5.04,14.17,1.55
"",35,cooked meals recd. as assistance *,17.60,14.17,21.59,21.50,10.54
"",36,clothing & footwear (2nd hand) **,3.68,0.78,0.06,0.05,0.09
"",37,"@books, journals, etc. (2nd hand)",0.81,1.23,0.70,0.70,0.58
"",38,"$durables (2ndhand)",1.78,4.61,0.75,8.13,1.78
39,imputed rent,910.87,357.07,676.67,1002.12,566.02,
