"(1)",(2),(18),(19),(20),(21),(22)
1,cereal,221.47,354.61,223.57,255.69,310.80
2,gram,3.57,1.29,0.13,1.82,0.98
3,cereal substitutes,5.47,0.95,0.68,0.20,1.66
4,pulses and pulse products,70.76,27.27,31.94,62.02,34.88
5,milk and milk products,267.47,50.38,100.17,150.92,119.76
6,sugar,34.42,11.60,25.35,36.71,16.38
7,salt,3.65,4.33,3.45,4.40,3.25
8,edible oil,98.22,54.22,74.10,85.13,52.28
9,"egg, fish & meat",134.05,240.40,319.46,562.97,300.38
10,vegetables,188.51,161.27,213.23,443.36,161.15
11,fruits (fresh),112.71,62.13,107.48,126.03,65.21
12,fruits (dry),74.41,6.40,5.89,12.49,5.80
13,spices,82.57,69.68,67.64,72.72,47.34
14,"beverages, refreshments, etc.",361.00,173.38,298.59,363.86,225.10
15,food: total (1-14),1658.27,1217.91,1471.68,2178.31,1344.99
16,"pan, tobacco & intoxicants",51.29,65.92,190.93,417.88,109.24
17,fuel and light,305.76,185.10,257.82,261.86,228.16
18,clothing & bedding,250.81,127.85,156.77,262.55,180.45
19,footwear,48.11,29.90,52.07,111.77,52.84
20,education,337.49,258.91,297.98,170.20,221.60
21,medical (institutional),64.98,18.41,20.59,16.76,9.77
22,medical (non-institutional),101.78,31.43,37.04,69.54,34.74
23,entertainment,79.49,41.63,85.51,98.28,86.75
24,minor durable-type goods,18.66,19.08,20.36,36.10,30.42
25,toilet articles,76.78,41.48,78.08,81.40,85.41
26,other household consumables,72.78,30.34,43.18,57.02,42.71
27,consum. services excl. conveyance,272.10,82.59,228.11,321.37,327.93
28,conveyance,342.26,191.71,256.57,234.01,147.24
29,rent,364.45,28.13,524.00,134.51,110.21
30,taxes & cesses,74.62,27.91,10.02,77.57,17.57
31,durable goods,225.96,63.44,96.04,274.06,184.18
32,non-food: total (16-31),2687.33,1243.83,2355.07,2624.87,1869.22
33,total expenditure (15+32),4345.60,2461.74,3826.75,4803.18,3214.21
34,"cooked meals recd. free inworkpl.*",8.94,0.09,1.89,0.48,3.06
35,cooked meals recd. as assistance *,13.43,1.72,5.64,5.27,0.00
36,clothing & footwear (2nd hand) **,0.26,8.66,2.22,5.55,19.66
37,"@books, journals, etc. (2nd hand)",0.97,1.53,2.22,0.99,0.80
38,"$durables (2ndhand)",2.20,3.78,0.03,4.04,2.28
39,imputed rent,1309.88,575.13,375.06,582.64,360.45
