-1,-2,-9,-10,-11,-12,-13,-14,-15
1,cereal,178.6,182.29,193.74,208.48,220.3,257.43,175.21
2,gram,2.8,3.17,3.32,4.19,5.59,7.6,3.11
3,cereal substitutes,0.82,1.21,1.29,1.52,1.92,4.05,0.95
4,pulses and pulse products,49,50.26,52.62,57.09,61.67,71.96,48.32
5,milk and milk products,153.03,186.17,218.77,264.63,336.53,427.3,169.4
6,sugar,27.46,29.4,30.64,33.88,39.74,45.47,26.8
7,salt,3.03,3.13,3.19,3.4,3.57,3.91,2.99
8,edible oil,67.52,69.75,72.32,77.14,83.82,96.81,65.03
9,"egg, fish & meat",86.09,101.21,117.2,130.57,159.88,238.89,90.37
10,vegetables,134.07,140.45,150.57,164.65,182.03,211.33,132.92
11,fruits (fresh),38.16,47.68,61.03,75.82,104.21,154.64,45.62
12,fruits (dry),10.09,13.42,16.74,20.93,30.42,46,12.34
13,spices,60.74,65.44,71.38,78.68,85.65,100.51,61.39
14,"beverages, refreshments, etc.",137.21,150.69,167.73,192.17,239.9,410.62,144.24
15,food: total (1-14),948.64,1044.28,1160.54,1313.16,1555.22,2076.51,978.69
16,"pan, tobacco & intoxicants",40.02,51.41,58.09,70.93,79.63,127.92,46.58
17,fuel and light,164.53,175.54,187.5,213.78,242.1,294.42,165.67
18,clothing & bedding,125.36,134.56,150.72,171.53,196.23,272.02,128.82
19,footwear,20.96,22.9,24.98,29.66,34.87,48.32,21.62
20,education,62.96,68.97,86.55,128.42,177.86,334.28,76.87
21,medical (institutional),13.14,17.1,21.72,34.59,55.47,219.73,25.55
22,medical (non-institutional),39.84,48.49,55.32,68.73,108.17,244.51,50.94
23,entertainment,21.67,26.84,33.02,40.13,48.93,69.73,24.31
24,minor durable-type goods,5.08,6.22,7.5,8.81,12.86,18.33,6.29
25,toilet articles,37.65,40.74,45.97,52.53,59.99,77.77,38.38
26,other household consumables,32.06,36.15,43.37,50.01,59.84,81.77,34.6
27,consum. services excl. conveyance,71.31,80.24,92.66,110.85,133.4,222.87,78.3
28,conveyance,71.7,91.43,117.74,160.89,221.76,404.69,94.28
29,rent,1.55,2.04,6.28,13.81,21.77,79.26,7.83
30,taxes & cesses,5.43,7.26,9.44,11.51,14.91,22.2,6.67
31,durable goods,57.13,66.78,82.98,117.19,170.97,572.68,86.74
32,non-food: total (16-31),770.38,876.68,1023.85,1283.37,1638.76,3090.49,893.44
33,total expenditure (15+32),1719.02,1920.96,2184.39,2596.53,3193.97,5167,1872.13
34,cooked meals recd. free in workpl.*,2.26,2.63,2.66,2.84,4.15,11.27,2.37
35,cooked meals recd. as assistance *,26.41,26.11,25.37,20.49,13.98,15.87,23.52
36,clothing & footwear (2nd hand) **,0.33,0.29,0.39,0.36,0.26,0.23,0.35
37,"@books, journals, etc. (2nd hand)",0.43,0.58,0.53,0.59,0.61,0.58,0.44
38,"$durables (2ndhand)",1.38,1.29,2.58,2.69,2.44,11.84,1.66
39,imputed rent,56.94,79.66,99.27,137.76,166.23,282.12,74.06
