"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
Andhra Pradesh,1693,1900,2178,2539,2852,3200,3560,4003,4663,5864,7594
Arunachal Pradesh,1528,1743,2118,2500,2865,3342,3830,4352,5262,7294,8649
Assam,1394,1577,1852,2129,2438,2719,3095,3847,4458,5829,7342
Bihar,916,1107,1261,1453,1695,1971,2218,2556,3106,3919,5336
Chhattisgarh,1144,1303,1579,1808,2066,2412,2749,3247,3924,5306,6911
Delhi,1783,2050,2523,2976,3398,3838,4481,5212,6533,8785,10845
Goa,1897,2021,2615,2865,3230,3519,3980,4435,5040,5951,7809
Gujarat,1827,2062,2435,2820,3184,3556,3951,4478,5057,5979,6825
Haryana,1421,1809,2194,2691,3033,3486,4121,5072,6079,8048,10505
Himachal Pradesh,2088,2495,2953,3338,3935,4402,5061,5605,6110,8300,10043
Jammu & Kashmir,1637,1839,2132,2356,2607,2941,3315,3838,4774,6453,8090
Jharkhand,969,1058,1395,1695,1975,2363,2817,3404,3977,5050,7049
Karnataka,1420,1704,2165,2610,2996,3448,4004,4748,5971,7192,9341
Kerala,1683,1890,2344,2755,3131,3540,3990,4686,5626,7440,10410
Madhya Pradesh,1081,1225,1520,1793,2055,2339,2676,3148,3726,4743,6092
Maharashtra,1467,1809,2225,2638,3003,3490,3985,4662,5398,6963,9709
Manipur,1256,1376,1598,1878,2095,2318,2495,2645,3000,3751,4610
Meghalaya,2122,2385,2628,2892,3278,3625,3840,4296,4657,5296,6873
Mizoram,2202,2517,3092,3643,4057,4434,4950,5486,6359,7342,8693
Nagaland,1661,1929,2121,2400,2865,3148,3460,3721,4118,4737,5033
Odisha,999,1162,1366,1533,1711,2021,2485,3080,3879,5336,6991
Punjab,1815,2015,2340,2720,3144,3558,4111,4872,5867,7509,9500
Rajasthan,1559,1755,2060,2312,2675,3050,3503,4107,4858,6208,8242
Sikkim,1563,1995,2512,3013,3335,3975,4732,5313,5688,7322,10689
Tamil Nadu,1850,2114,2400,2658,3037,3444,3895,4417,5073,6120,7359
Telangana,2073,2331,2654,3147,3606,4212,5069,5639,6081,7415,8772
Tripura,1602,1884,2153,2477,2759,3129,3571,4148,5151,7342,8922
Uttarakhand,1523,1676,1945,2337,2695,3041,3328,3791,4714,6899,9566
Uttar Pradesh,1159,1297,1544,1779,2062,2358,2752,3196,3824,5229,7320
West Bengal,1423,1596,1948,2258,2553,2944,3424,3873,4729,6486,8294
A&N Islands,2500,2773,3379,3842,4345,4831,5303,6054,6633,7779,9657
Chandigarh,2441,2928,3557,4266,5067,6060,7607,8778,10594,14344,16085
Dadra & N. Haveli,1716,1997,2342,2753,3078,3280,3546,3806,4873,5059,5516
Daman Diu,1995,2248,2734,2941,3061,3454,4599,4871,5104,5343,7326
Lakshadweep,1948,2226,2519,2771,2865,3009,3316,3411,3528,4444,5227
Puducherry,2254,2405,2905,3158,3492,3755,4174,4618,5112,6633,8343
all-India,1325,1597,2017,2365,2723,3144,3618,4213,5083,6557,8449
