-1,-2,-28,-29,-30,-31,-32
1,cereal,216.63,243.32,196.9,159.08,209.31
2,gram,0.66,0.31,5.81,3.01,1.36
3,cereal substitutes,0.33,0.1,0.12,0.11,0.16
4,pulses and pulse products,52.66,36.81,62.62,57.03,38.28
5,milk and milk products,121.97,53.4,279.08,174.07,56.62
6,sugar,19.96,14.32,31.74,32.3,17.51
7,salt,3.3,4.94,3.5,2.73,3.67
8,edible oil,73.58,61.25,53.62,62.93,76.43
9,"egg, fish & meat",129.6,301.9,81.06,38.83,208.38
10,vegetables,158.38,208.45,147.83,123.32,151.01
11,fruits (fresh),47.64,39.81,53.5,31.68,40.05
12,fruits (dry),15.36,2.93,23.27,10.61,3.77
13,spices,81.31,55.51,53.08,56.73,55.33
14,"beverages, refreshments, etc.",162.49,141.05,149.11,119.84,166.18
15,food: total (1-14),1083.86,1164.09,1141.23,872.28,1028.08
16,"pan, tobacco & intoxicants",86.87,113.61,90.1,32.37,36.98
17,fuel and light,145.33,169.07,181.97,155.08,177.52
18,clothing & bedding,174.75,144.44,147.26,114,121.29
19,footwear,21.97,19,33.47,19.63,15.16
20,education,73.22,118.13,107.75,83.92,83.95
21,medical (institutional),24.75,19.25,12.77,27.57,29.1
22,medical (non-institutional),53.43,65.82,31.74,52.1,86.31
23,entertainment,43.28,34.27,40.86,13.3,25.28
24,minor durable-type goods,4.38,4.62,12.51,5.06,5.58
25,toilet articles,52.01,36.06,43.27,33.35,35.23
26,other household consumables,46.29,26.48,37.57,28.72,28.67
27,consum. services excl. conveyance,86.33,68.34,95.64,67.24,51.33
28,conveyance,121.32,69.03,142.83,64.61,52.33
29,rent,9.18,2.73,14.98,1.81,2.47
30,taxes & cesses,13.88,1.21,9.74,1.21,1.79
31,durable goods,82.4,59.17,111.97,81.77,67.9
32,non-food: total (16-31),1039.38,951.25,1114.43,781.74,820.9
33,total expenditure (15+32),2123.24,2115.34,2255.67,1654.01,1848.98
34,"cooked meals recd. free inworkpl.*",3.77,1.44,0.44,1.27,3.8
35,cooked meals recd. as assistance *,39.47,29.21,16.43,13.96,30.17
36,clothing & footwear (2nd hand) **,0.11,2.31,0.83,0.09,0.13
37,"@books, journals, etc. (2nd hand)",0.09,1.56,0.32,0.49,0.6
38,"$durables (2ndhand)",2.86,1.65,1,1.33,0.97
39,imputed rent,98.68,77.38,158.79,19.86,34.47
